Project_Size,Weather_Conditions,Labor_Availability,Material_Availability,Site_Conditions,Government_Approvals,Budget_Issues,Equipment_Availability,Planned_Duration_Days,Actual_Completion_Days
Small,Clear,Insufficient,On-time,Good,Pending,Yes,Available,309,321
Large,Storm,Insufficient,Delayed,Bad,Approved,No,Delayed,204,252
Small,Storm,Insufficient,On-time,Bad,Approved,Yes,Available,70,118
Small,Snow,Sufficient,Delayed,Moderate,Approved,No,Delayed,183,222
Large,Snow,Insufficient,On-time,Moderate,Approved,Yes,Available,91,132
Medium,Storm,Insufficient,Delayed,Moderate,Pending,No,Delayed,124,151
Large,Snow,Insufficient,On-time,Bad,Approved,No,Available,103,148
Small,Storm,Sufficient,Delayed,Moderate,Approved,Yes,Available,154,186
Small,Storm,Sufficient,On-time,Bad,Pending,No,Available,84,104
Small,Clear,Sufficient,On-time,Moderate,Pending,Yes,Available,234,279
Small,Snow,Insufficient,Delayed,Good,Approved,No,Delayed,300,332
Small,Rain,Sufficient,Delayed,Moderate,Approved,Yes,Delayed,332,348
Medium,Storm,Sufficient,On-time,Bad,Approved,Yes,Delayed,249,276
Medium,Rain,Sufficient,Delayed,Moderate,Approved,Yes,Delayed,157,199
Large,Rain,Insufficient,Delayed,Moderate,Approved,Yes,Available,216,249
Large,Storm,Insufficient,On-time,Moderate,Pending,Yes,Delayed,166,188
Large,Clear,Sufficient,Delayed,Bad,Pending,Yes,Available,129,140
Large,Storm,Insufficient,Delayed,Bad,Pending,Yes,Delayed,362,411
Large,Snow,Insufficient,On-time,Good,Approved,Yes,Delayed,309,328
Small,Rain,Sufficient,Delayed,Moderate,Pending,No,Delayed,263,305
Medium,Clear,Sufficient,On-time,Bad,Pending,Yes,Available,224,249
Large,Rain,Sufficient,On-time,Bad,Approved,Yes,Available,290,301
Medium,Snow,Insufficient,On-time,Bad,Pending,No,Delayed,175,205
Large,Snow,Insufficient,Delayed,Good,Pending,No,Delayed,189,226
Large,Storm,Insufficient,Delayed,Moderate,Pending,No,Delayed,355,378
Small,Rain,Sufficient,On-time,Bad,Pending,No,Available,244,262
Small,Snow,Sufficient,On-time,Moderate,Pending,No,Delayed,355,389
Medium,Rain,Sufficient,On-time,Bad,Pending,No,Delayed,256,289
Large,Clear,Insufficient,Delayed,Moderate,Approved,No,Available,87,122
Large,Snow,Sufficient,Delayed,Good,Approved,Yes,Delayed,228,256
Medium,Rain,Insufficient,Delayed,Good,Approved,Yes,Delayed,43,82
Large,Rain,Sufficient,Delayed,Good,Approved,No,Delayed,285,334
Large,Storm,Insufficient,Delayed,Moderate,Pending,Yes,Delayed,128,147
Large,Rain,Insufficient,Delayed,Good,Pending,Yes,Available,190,227
Medium,Rain,Sufficient,Delayed,Bad,Approved,Yes,Delayed,180,218
Large,Snow,Sufficient,On-time,Good,Approved,No,Available,271,296
Large,Clear,Insufficient,On-time,Good,Pending,No,Delayed,98,127
Small,Snow,Insufficient,Delayed,Bad,Approved,No,Available,348,389
Small,Snow,Sufficient,Delayed,Bad,Approved,Yes,Delayed,201,228
Small,Clear,Insufficient,Delayed,Moderate,Approved,Yes,Delayed,355,401
Large,Clear,Sufficient,On-time,Moderate,Approved,No,Available,65,63
Medium,Snow,Sufficient,On-time,Bad,Pending,No,Available,205,216
Small,Storm,Insufficient,Delayed,Bad,Pending,No,Delayed,56,98
Small,Clear,Sufficient,On-time,Good,Approved,No,Delayed,93,105
Small,Clear,Insufficient,Delayed,Bad,Pending,Yes,Delayed,300,346
Small,Storm,Sufficient,Delayed,Moderate,Pending,No,Delayed,196,235
Small,Clear,Sufficient,Delayed,Good,Pending,No,Available,166,186
Small,Clear,Sufficient,Delayed,Moderate,Pending,Yes,Delayed,30,65
Small,Rain,Insufficient,On-time,Bad,Pending,No,Available,349,382
Small,Rain,Sufficient,On-time,Moderate,Approved,Yes,Available,205,226
Large,Clear,Sufficient,Delayed,Moderate,Pending,Yes,Available,165,188
Large,Clear,Insufficient,Delayed,Bad,Pending,Yes,Available,223,245
Medium,Rain,Sufficient,On-time,Good,Approved,No,Available,71,108
Medium,Clear,Insufficient,Delayed,Moderate,Pending,No,Available,184,206
Small,Snow,Sufficient,On-time,Moderate,Approved,Yes,Available,57,87
Medium,Snow,Sufficient,Delayed,Moderate,Pending,No,Delayed,168,207
Large,Rain,Insufficient,Delayed,Bad,Approved,No,Available,77,125
Small,Clear,Insufficient,Delayed,Good,Pending,No,Delayed,316,341
Medium,Storm,Sufficient,Delayed,Bad,Approved,No,Available,306,345
Small,Storm,Sufficient,Delayed,Bad,Pending,Yes,Available,274,300
Large,Rain,Sufficient,On-time,Moderate,Pending,No,Delayed,310,327
Medium,Rain,Insufficient,Delayed,Good,Pending,Yes,Available,98,137
Medium,Rain,Sufficient,On-time,Good,Approved,No,Available,63,100
Small,Storm,Sufficient,On-time,Good,Pending,No,Delayed,260,289
Small,Storm,Insufficient,Delayed,Bad,Approved,No,Available,351,373
Medium,Clear,Insufficient,Delayed,Moderate,Approved,No,Delayed,155,199
Large,Clear,Sufficient,Delayed,Good,Approved,No,Available,235,255
Large,Clear,Insufficient,On-time,Good,Approved,No,Delayed,291,308
Small,Snow,Sufficient,Delayed,Good,Pending,Yes,Available,316,339
Small,Rain,Sufficient,On-time,Good,Approved,No,Delayed,249,262
Large,Clear,Sufficient,Delayed,Bad,Approved,Yes,Available,226,247
Small,Clear,Insufficient,On-time,Bad,Approved,Yes,Available,149,163
Small,Snow,Sufficient,On-time,Moderate,Approved,Yes,Available,113,137
Small,Snow,Sufficient,Delayed,Moderate,Approved,Yes,Delayed,347,390
Large,Rain,Sufficient,Delayed,Good,Pending,Yes,Delayed,106,130
Small,Clear,Insufficient,Delayed,Bad,Pending,Yes,Delayed,345,367
Large,Storm,Sufficient,On-time,Moderate,Approved,No,Delayed,91,101
Large,Storm,Insufficient,Delayed,Moderate,Pending,Yes,Delayed,296,327
Small,Clear,Sufficient,Delayed,Good,Approved,No,Delayed,187,216
Large,Snow,Sufficient,Delayed,Moderate,Pending,Yes,Delayed,335,363
Medium,Rain,Sufficient,Delayed,Moderate,Approved,Yes,Available,235,255
Small,Clear,Insufficient,Delayed,Bad,Approved,No,Delayed,359,372
Large,Snow,Sufficient,Delayed,Moderate,Approved,Yes,Delayed,123,162
Large,Snow,Sufficient,Delayed,Good,Pending,Yes,Available,157,188
Small,Snow,Sufficient,On-time,Moderate,Pending,Yes,Delayed,110,156
Medium,Rain,Insufficient,Delayed,Bad,Pending,No,Delayed,122,154
Large,Clear,Insufficient,Delayed,Good,Approved,Yes,Delayed,39,59
Medium,Snow,Sufficient,Delayed,Good,Pending,No,Available,145,158
Medium,Rain,Insufficient,On-time,Bad,Approved,Yes,Delayed,323,337
Small,Clear,Insufficient,On-time,Moderate,Pending,No,Delayed,78,95
Large,Clear,Insufficient,Delayed,Good,Pending,Yes,Delayed,348,372
Medium,Snow,Insufficient,Delayed,Bad,Approved,No,Available,274,285
Large,Snow,Insufficient,Delayed,Good,Pending,Yes,Available,175,224
Large,Snow,Insufficient,Delayed,Good,Approved,Yes,Delayed,104,121
Small,Clear,Insufficient,On-time,Moderate,Pending,Yes,Available,149,180
Large,Clear,Sufficient,On-time,Moderate,Pending,Yes,Delayed,278,299
Medium,Clear,Sufficient,On-time,Moderate,Approved,No,Delayed,349,376
Medium,Storm,Sufficient,On-time,Moderate,Pending,Yes,Available,109,128
Small,Storm,Sufficient,Delayed,Good,Approved,No,Delayed,324,345
Large,Snow,Insufficient,Delayed,Bad,Pending,No,Available,341,363
Medium,Clear,Insufficient,On-time,Bad,Pending,Yes,Delayed,235,246
Large,Storm,Insufficient,Delayed,Bad,Pending,No,Delayed,218,233
Small,Clear,Insufficient,On-time,Good,Approved,No,Available,304,319
Small,Rain,Sufficient,Delayed,Moderate,Approved,Yes,Delayed,226,274
Small,Clear,Insufficient,On-time,Good,Approved,Yes,Delayed,269,306
Small,Storm,Sufficient,Delayed,Moderate,Pending,No,Available,48,67
Small,Rain,Insufficient,Delayed,Good,Pending,Yes,Available,287,321
Large,Snow,Sufficient,Delayed,Good,Approved,Yes,Available,129,159
Large,Snow,Insufficient,Delayed,Good,Approved,Yes,Delayed,125,153
Small,Clear,Insufficient,Delayed,Bad,Pending,No,Delayed,285,311
Small,Snow,Insufficient,On-time,Moderate,Pending,No,Available,152,201
Large,Storm,Sufficient,Delayed,Good,Pending,No,Available,31,58
Medium,Storm,Sufficient,On-time,Bad,Pending,Yes,Available,283,304
Small,Rain,Insufficient,On-time,Bad,Approved,Yes,Delayed,38,85
Small,Storm,Insufficient,On-time,Bad,Approved,Yes,Available,182,225
Large,Rain,Insufficient,On-time,Good,Approved,Yes,Available,42,58
Medium,Snow,Insufficient,On-time,Bad,Approved,No,Available,128,143
Small,Storm,Insufficient,On-time,Good,Pending,Yes,Delayed,178,194
Medium,Rain,Insufficient,On-time,Bad,Approved,No,Delayed,245,289
Medium,Snow,Insufficient,On-time,Bad,Approved,No,Delayed,211,225
Large,Snow,Insufficient,Delayed,Bad,Approved,Yes,Available,176,193
Large,Clear,Insufficient,Delayed,Moderate,Approved,No,Delayed,251,271
Large,Clear,Sufficient,Delayed,Good,Pending,Yes,Delayed,171,186
Large,Clear,Sufficient,On-time,Moderate,Approved,Yes,Available,231,242
Small,Clear,Sufficient,Delayed,Bad,Approved,Yes,Available,164,209
Large,Clear,Insufficient,Delayed,Bad,Approved,Yes,Delayed,358,372
Medium,Storm,Sufficient,Delayed,Moderate,Approved,No,Available,300,334
Large,Storm,Sufficient,On-time,Bad,Approved,Yes,Delayed,343,359
Small,Storm,Sufficient,Delayed,Moderate,Approved,Yes,Available,322,346
Small,Rain,Sufficient,Delayed,Bad,Approved,No,Delayed,155,168
Large,Rain,Insufficient,Delayed,Good,Pending,Yes,Delayed,57,77
Medium,Storm,Insufficient,On-time,Good,Pending,No,Delayed,168,197
Small,Snow,Insufficient,Delayed,Moderate,Pending,No,Delayed,134,178
Small,Snow,Insufficient,On-time,Moderate,Approved,No,Delayed,320,348
Small,Clear,Insufficient,Delayed,Good,Approved,No,Delayed,54,76
Large,Rain,Insufficient,Delayed,Bad,Pending,Yes,Delayed,40,75
Medium,Storm,Sufficient,Delayed,Good,Approved,No,Available,189,238
Small,Clear,Sufficient,Delayed,Bad,Approved,No,Delayed,246,279
Large,Storm,Sufficient,Delayed,Bad,Pending,Yes,Available,197,211
Small,Storm,Insufficient,Delayed,Good,Approved,No,Delayed,260,270
Large,Clear,Sufficient,On-time,Bad,Pending,Yes,Available,251,296
Medium,Clear,Sufficient,Delayed,Good,Approved,No,Available,117,140
Large,Rain,Insufficient,Delayed,Moderate,Approved,No,Available,107,120
Medium,Rain,Insufficient,Delayed,Bad,Approved,Yes,Available,196,211
Medium,Storm,Sufficient,Delayed,Good,Approved,Yes,Delayed,215,259
Medium,Clear,Sufficient,Delayed,Good,Approved,No,Delayed,193,211
Large,Rain,Insufficient,On-time,Good,Pending,Yes,Available,353,365
Small,Storm,Sufficient,Delayed,Moderate,Pending,Yes,Available,116,147
Small,Rain,Insufficient,Delayed,Moderate,Approved,Yes,Available,120,169
Large,Snow,Sufficient,On-time,Good,Pending,No,Available,144,188
Large,Snow,Insufficient,Delayed,Bad,Pending,No,Delayed,314,359
Medium,Snow,Sufficient,Delayed,Moderate,Approved,Yes,Delayed,138,173
Medium,Storm,Insufficient,Delayed,Moderate,Approved,No,Delayed,90,126
Medium,Rain,Sufficient,On-time,Moderate,Pending,No,Delayed,334,378
Small,Clear,Insufficient,On-time,Good,Pending,Yes,Available,151,197
Small,Storm,Insufficient,On-time,Bad,Pending,No,Delayed,44,66
Small,Clear,Sufficient,Delayed,Good,Pending,Yes,Available,133,157
Large,Rain,Insufficient,On-time,Good,Approved,No,Available,274,313
Small,Rain,Insufficient,Delayed,Good,Approved,Yes,Delayed,80,127
Medium,Clear,Insufficient,On-time,Bad,Pending,Yes,Delayed,190,209
Large,Snow,Sufficient,Delayed,Good,Approved,No,Available,189,230
Small,Rain,Insufficient,On-time,Good,Pending,Yes,Delayed,194,226
Large,Storm,Insufficient,Delayed,Moderate,Pending,Yes,Available,214,260
Large,Snow,Sufficient,On-time,Good,Pending,No,Available,48,95
Medium,Clear,Insufficient,On-time,Bad,Approved,No,Available,249,297
Large,Clear,Insufficient,Delayed,Bad,Approved,Yes,Available,237,282
Medium,Storm,Sufficient,On-time,Bad,Pending,No,Delayed,361,403
Large,Rain,Sufficient,Delayed,Moderate,Approved,No,Delayed,76,114
Large,Storm,Insufficient,Delayed,Moderate,Approved,No,Delayed,245,282
Small,Rain,Sufficient,On-time,Moderate,Approved,No,Available,41,61
Small,Clear,Sufficient,On-time,Moderate,Approved,Yes,Delayed,39,71
Medium,Rain,Insufficient,Delayed,Bad,Pending,Yes,Delayed,53,91
Medium,Rain,Insufficient,On-time,Good,Pending,Yes,Available,74,102
Medium,Storm,Insufficient,On-time,Moderate,Pending,No,Delayed,144,171
Large,Rain,Insufficient,On-time,Good,Pending,No,Delayed,132,175
Small,Rain,Sufficient,On-time,Moderate,Approved,Yes,Available,265,283
Medium,Clear,Insufficient,Delayed,Moderate,Approved,Yes,Delayed,145,191
Medium,Snow,Insufficient,On-time,Good,Approved,Yes,Available,294,304
Small,Rain,Sufficient,Delayed,Moderate,Pending,Yes,Delayed,273,304
Small,Rain,Insufficient,Delayed,Bad,Approved,Yes,Delayed,274,292
Large,Rain,Sufficient,Delayed,Bad,Approved,Yes,Delayed,174,203
Large,Clear,Insufficient,Delayed,Good,Pending,No,Delayed,113,153
Medium,Storm,Insufficient,Delayed,Good,Pending,Yes,Delayed,119,150
Small,Snow,Sufficient,Delayed,Bad,Approved,Yes,Delayed,205,249
Small,Storm,Sufficient,On-time,Bad,Pending,No,Delayed,53,83
Large,Clear,Sufficient,Delayed,Good,Pending,No,Delayed,248,297
Medium,Storm,Sufficient,On-time,Bad,Pending,Yes,Available,299,311
Medium,Clear,Sufficient,Delayed,Bad,Pending,No,Delayed,76,100
Large,Clear,Sufficient,On-time,Moderate,Approved,Yes,Delayed,64,111
Small,Snow,Insufficient,On-time,Good,Approved,Yes,Delayed,49,90
Small,Storm,Sufficient,On-time,Moderate,Approved,Yes,Available,303,336
Small,Snow,Insufficient,On-time,Moderate,Approved,Yes,Available,160,187
Medium,Clear,Sufficient,On-time,Moderate,Pending,Yes,Delayed,185,221
Small,Snow,Insufficient,On-time,Good,Approved,Yes,Available,41,67
Large,Storm,Insufficient,Delayed,Moderate,Pending,No,Available,319,329
Small,Rain,Insufficient,On-time,Moderate,Pending,Yes,Available,86,110
Large,Rain,Sufficient,Delayed,Good,Approved,No,Available,335,381
Medium,Rain,Insufficient,On-time,Good,Pending,Yes,Delayed,254,272
Large,Rain,Insufficient,Delayed,Good,Approved,Yes,Available,305,319
Small,Clear,Sufficient,On-time,Bad,Pending,No,Delayed,144,167
Medium,Clear,Insufficient,Delayed,Good,Pending,No,Delayed,168,207
Small,Storm,Sufficient,On-time,Good,Approved,No,Delayed,292,325
Medium,Clear,Sufficient,On-time,Bad,Pending,No,Available,154,193
Large,Snow,Insufficient,Delayed,Moderate,Approved,Yes,Delayed,102,138
Medium,Storm,Insufficient,Delayed,Bad,Pending,Yes,Delayed,313,340
Large,Clear,Insufficient,On-time,Moderate,Approved,No,Delayed,199,216
Large,Rain,Insufficient,Delayed,Moderate,Approved,No,Delayed,157,172
Medium,Rain,Sufficient,On-time,Moderate,Approved,No,Available,213,229
Large,Clear,Insufficient,On-time,Bad,Pending,No,Delayed,327,356
Medium,Clear,Insufficient,Delayed,Good,Approved,No,Delayed,261,305
Small,Snow,Insufficient,Delayed,Bad,Approved,No,Delayed,53,82
Small,Clear,Sufficient,On-time,Moderate,Pending,Yes,Delayed,337,359
Large,Storm,Insufficient,On-time,Bad,Pending,No,Available,285,305
Small,Clear,Sufficient,Delayed,Moderate,Pending,Yes,Delayed,347,392
Medium,Storm,Insufficient,On-time,Bad,Pending,Yes,Available,185,206
Small,Storm,Sufficient,Delayed,Good,Approved,No,Available,60,85
Medium,Rain,Sufficient,On-time,Bad,Pending,Yes,Available,84,98
Medium,Clear,Insufficient,Delayed,Good,Pending,No,Delayed,345,373
Large,Storm,Sufficient,On-time,Good,Approved,Yes,Delayed,183,229
Large,Clear,Sufficient,On-time,Good,Approved,Yes,Delayed,343,363
Large,Rain,Sufficient,On-time,Good,Pending,No,Delayed,139,184
Large,Clear,Sufficient,On-time,Good,Approved,No,Available,82,82
Large,Rain,Sufficient,Delayed,Good,Approved,Yes,Available,135,182
Medium,Rain,Insufficient,On-time,Moderate,Pending,No,Delayed,130,147
Medium,Clear,Sufficient,On-time,Good,Approved,Yes,Delayed,223,254
Large,Snow,Sufficient,On-time,Bad,Pending,No,Delayed,102,140
Large,Snow,Sufficient,On-time,Moderate,Approved,No,Available,106,130
Medium,Storm,Sufficient,Delayed,Moderate,Pending,No,Delayed,361,371
Large,Rain,Sufficient,Delayed,Bad,Pending,Yes,Delayed,64,95
Medium,Rain,Insufficient,Delayed,Bad,Approved,No,Available,362,387
Small,Storm,Sufficient,Delayed,Bad,Pending,No,Available,276,319
Small,Clear,Sufficient,On-time,Good,Pending,No,Available,183,229
Large,Rain,Sufficient,Delayed,Moderate,Pending,Yes,Available,177,225
Small,Storm,Sufficient,Delayed,Bad,Approved,Yes,Available,147,186
Medium,Snow,Insufficient,On-time,Moderate,Approved,No,Delayed,348,365
Medium,Rain,Sufficient,Delayed,Good,Pending,No,Available,197,230
Medium,Snow,Sufficient,Delayed,Good,Pending,No,Available,283,295
Small,Rain,Sufficient,On-time,Bad,Approved,Yes,Available,255,303
Small,Rain,Sufficient,Delayed,Moderate,Pending,No,Delayed,329,370
Small,Storm,Sufficient,On-time,Bad,Pending,Yes,Available,73,89
Small,Clear,Sufficient,On-time,Good,Pending,No,Delayed,328,369
Large,Clear,Sufficient,On-time,Moderate,Approved,Yes,Delayed,76,92
Large,Clear,Sufficient,Delayed,Moderate,Pending,Yes,Available,170,212
Medium,Storm,Sufficient,Delayed,Moderate,Approved,No,Available,236,268
Medium,Rain,Sufficient,Delayed,Good,Approved,Yes,Delayed,170,194
Small,Clear,Sufficient,Delayed,Good,Approved,No,Delayed,321,342
Medium,Rain,Sufficient,On-time,Good,Approved,Yes,Delayed,141,180
Large,Storm,Sufficient,On-time,Bad,Approved,Yes,Available,136,185
Medium,Storm,Sufficient,On-time,Good,Approved,Yes,Available,143,171
Medium,Storm,Insufficient,Delayed,Bad,Pending,No,Available,253,282
Large,Storm,Insufficient,Delayed,Moderate,Pending,Yes,Delayed,302,336
Medium,Storm,Sufficient,On-time,Moderate,Pending,No,Delayed,234,279
Large,Rain,Insufficient,On-time,Moderate,Approved,Yes,Delayed,100,139
Large,Clear,Sufficient,Delayed,Good,Approved,Yes,Delayed,107,149
Large,Storm,Sufficient,On-time,Bad,Pending,No,Available,81,126
Large,Clear,Sufficient,On-time,Bad,Approved,No,Delayed,218,249
Small,Snow,Sufficient,Delayed,Good,Pending,No,Delayed,72,104
Large,Storm,Sufficient,Delayed,Moderate,Approved,Yes,Available,81,93
Small,Snow,Sufficient,Delayed,Good,Approved,No,Available,313,353
Large,Clear,Insufficient,On-time,Moderate,Approved,No,Available,97,139
Small,Clear,Sufficient,On-time,Moderate,Approved,Yes,Available,173,209
Small,Rain,Sufficient,On-time,Moderate,Pending,No,Available,108,134
Medium,Clear,Insufficient,Delayed,Good,Approved,No,Delayed,185,212
Medium,Clear,Insufficient,Delayed,Moderate,Approved,Yes,Delayed,227,262
Small,Snow,Insufficient,Delayed,Bad,Approved,No,Available,135,163
Large,Storm,Insufficient,Delayed,Bad,Pending,No,Delayed,284,305
Small,Storm,Sufficient,Delayed,Moderate,Approved,Yes,Delayed,304,352
Large,Clear,Insufficient,On-time,Good,Approved,Yes,Delayed,292,303
Large,Rain,Insufficient,On-time,Bad,Approved,Yes,Delayed,150,198
Small,Snow,Insufficient,Delayed,Good,Approved,No,Available,311,327
Small,Snow,Sufficient,On-time,Moderate,Approved,No,Available,308,318
Medium,Snow,Sufficient,Delayed,Bad,Pending,No,Available,201,246
Medium,Rain,Insufficient,Delayed,Moderate,Approved,Yes,Delayed,42,61
Large,Rain,Insufficient,On-time,Moderate,Pending,Yes,Delayed,169,189
Medium,Rain,Sufficient,On-time,Bad,Pending,Yes,Delayed,138,176
Small,Storm,Insufficient,Delayed,Bad,Approved,Yes,Available,31,76
Small,Storm,Sufficient,On-time,Bad,Pending,Yes,Delayed,123,164
Small,Rain,Insufficient,On-time,Good,Pending,Yes,Delayed,171,190
Small,Snow,Sufficient,On-time,Bad,Approved,Yes,Delayed,228,257
Small,Snow,Sufficient,On-time,Moderate,Pending,No,Available,53,72
Large,Rain,Sufficient,Delayed,Moderate,Approved,Yes,Available,203,228
Medium,Storm,Sufficient,On-time,Moderate,Pending,Yes,Available,309,346
Medium,Rain,Sufficient,On-time,Bad,Approved,Yes,Delayed,336,354
Small,Rain,Insufficient,Delayed,Good,Approved,No,Delayed,30,76
Large,Clear,Insufficient,Delayed,Bad,Approved,Yes,Available,231,243
Large,Snow,Sufficient,On-time,Bad,Approved,No,Delayed,362,392
Large,Snow,Sufficient,On-time,Good,Approved,Yes,Delayed,62,83
Small,Clear,Insufficient,On-time,Moderate,Approved,Yes,Delayed,209,230
Large,Storm,Insufficient,On-time,Good,Approved,No,Delayed,227,266
Medium,Clear,Sufficient,Delayed,Good,Approved,Yes,Delayed,68,88
Small,Storm,Sufficient,On-time,Bad,Approved,No,Delayed,201,222
Small,Clear,Sufficient,On-time,Moderate,Pending,No,Delayed,152,181
Large,Rain,Sufficient,Delayed,Bad,Pending,No,Delayed,271,283
Medium,Snow,Sufficient,Delayed,Bad,Approved,Yes,Available,131,173
Medium,Snow,Sufficient,On-time,Bad,Pending,Yes,Delayed,139,170
Large,Storm,Insufficient,Delayed,Moderate,Approved,No,Available,139,158
Medium,Storm,Insufficient,On-time,Moderate,Approved,Yes,Available,193,231
Medium,Snow,Insufficient,On-time,Good,Pending,No,Delayed,323,351
Large,Clear,Insufficient,Delayed,Bad,Approved,Yes,Available,78,119
Medium,Storm,Insufficient,Delayed,Moderate,Pending,No,Available,151,191
